firmware,brand,name,version
JNR3210_Firmware_Version_1.1.0.14.zip,NETGEAR,JNR3210,1.1.0.14
DIR815A1_FW104b03.bin,D-Link,DIR-815,A1 1.04b03
FW_TV-IP121WN_1.2.2.zip,TRENDnet,TV-IP121WN,1.2.2
FW_WRT320N_1.0.05.002_20110331.bin,Linksys,WRT320N,1.0.05.002
Archer_C2_US__v1_160128.zip,TP-Link,Archer C2 (US),1
FW_RT_N53_30043763754.zip,ASUS,RT-N53,3_0.0.4.376.3754
DGN3500-V1.1.00.30_NA.zip,NETGEAR,DGN3500,1.1.00.30
dap2310_v1.00_o772.bin,D-Link,DAP-2310,1.00_o772
TEW-652BRU_1.00b12.zip,TRENDnet,TEW-652BRU,1.00b12
FW_RE1000_1.0.02.001_US_20120214_SHIPPING.bin,Linksys,FW_RE1000 (US),1.0.02.001
FW_RT_N10U_B1_30043763754.zip,ASUS,RT-N10U,B1 3_0.0.4.376.3754
DGND3300_Firmware_Version_1.1.00.22__North_America_.zip,NETGEAR,DGND3300,1.1.00.22
dir300_v1.03_7c.bin,D-Link,DIR-300,1.03_7c
FW_TV-IP651WI_V1_1.07.01.zip,TRENDnet,TV-IP651WI,1_1.07.01
TL-WPA8630_US__V2_171011.zip,TP-Link,TL-WPA8630 (US),2